p2518	t1735
p6814	t60
p2174	a6312
p13296	t60
p4761	t674
p13399	t786
p10983	t60
p4729	a8972
p7584	t1238
p12699	a6530
p7296	t286
p1015	t3512
p11044	t33
p5600	a5265
p12308	t830
p1693	a3767
p4686	t78
p1694	t1
p4442	t5801
p11378	a4223
p5154	t1746
p3358	t39
p13853	a14359
p4105	a5645
p10119	t320
p5320	a10073
p2549	a3737
p9901	a13268
p14264	t78
p9307	t106
p2855	t78
p5039	t252
p8713	a894
p7860	t37
p4088	t474
p11292	t52
p11086	t19
p11211	t60
p11048	t219
p7442	t108
p3352	a10963
p7854	a12013
p2918	t43
p8833	a4459
p5718	a3925
p4664	t142
p3489	a10173
p13206	a14222
p5920	t5631
p3599	a4791
p1731	a7787
p4106	t7719
p7861	a7223
p4453	t211
p10522	c16
p4828	t463
p12543	c17
p2929	t12
p6917	t4
p3554	t53
p8947	a13088
p13382	a5505
p13893	t487
p3657	a7208
p2983	a4422
p5923	t128
p4959	t19
p13920	t4237
p11433	a13132
p12465	c17
p1120	t177
p5342	t12
p2850	t330
p9169	a985
p2698	t1547
p11386	t330
p12880	t388
p6670	t3209
p13977	a10351
p4240	a8422
p2200	t423
p7909	t6577
p14086	c19
p8794	a6701
p8840	a4766
p2448	t4284
p3434	t115
p13086	a7530
p647	a2420
p10124	t79
p2627	t120
p8936	t163
p8788	t12
p6411	t1134
p14113	t1196
p1158	t3664
p6379	a1892
p14045	t182
p1889	c2
p1398	a3519
p5223	t579
p4211	t4
p6832	t3978
p13567	t49
p4319	a11153
p11233	c17
p10151	t221
p14283	t4242
p8650	t4346
p2630	a9491
p13229	t4
p2242	t36
p3431	t285
p13620	c18
p4280	t149
p12483	a7150
p1050	t3559
p4092	a11275
p13262	t750
p12803	t1
p8525	t458
p3882	t3294
p7905	t78
p1997	t19
p12437	a10616
p11202	a4932
p10492	t1635
p3126	t43
p1561	t1379
p12636	a2790
p6262	t894
p6080	t43
p10138	t19
p12966	a655
p10868	a3928
p7199	t273
p9400	a2429
p7025	t227
p10275	t2898
p4671	a11118
p11271	t275
p10307	t36
p9552	t7046
p4579	t791
p1529	t19
p7693	a7620
p14071	t8587
p9208	c14
p13896	c18
p6641	t1916
p14036	t550
p4439	t2280
p12305	a11220
p4686	t537
p12169	t2068
p5591	a2981
p5237	t3158
p4573	t426
p4364	t19
p9313	a5894
p13641	t2165
p7980	t2082
p13374	a4310
p4622	t19
p8523	t984
p7466	a648
p5741	t1238
p5253	t163
p6148	t1
p1181	a1890
p12506	a6996
p5204	t4
p3779	t4
p12456	t8137
p10751	c16
p12082	a11202
p9831	t4
p7263	t33
p6242	t4
p6532	t486
p7095	t19
p3867	t7091
p509	a2173
p2109	t417
p13043	t79
p8639	a5593
p3498	a7744
p8611	a575
p4363	c7
p974	t3458
p2124	t19
p14182	a815
p8389	t10
p7424	t19
p2248	t1997
p12263	t552
p5694	t2016
p897	a935
p4127	t330
p5791	a10855
p9377	t13
p2708	a7898
p3874	t687
p10460	t7453
p9125	t830
p294	a1725
p13029	a14189
p1495	t1152
p13040	t6957
p8826	t417
p5012	t1260
p5801	t78
p6396	t1148
p3360	a10972
p13891	t458
p7509	t539
p11490	t1489
p12843	t786
p8118	t12
p5821	t261
p12619	t2873
p12339	t2439
p9307	t1460
p12890	t945
p4240	t65
p5869	t33
p1077	t3594
p3237	t3849
p1963	a8016
p7712	a12618
p10850	t383
p8494	t417
p370	t253
p11563	t4
p14371	a1908
p4808	t1123
p5169	a7223
p3242	t43
p9994	t687
p6477	t10
p3073	t426
p6025	t59
p3350	t490
p6149	a1541
p1818	a4056
p3957	a4564
p3253	a10899
p8390	c11
p1971	t36
p8150	t19
p10120	t10
p6854	t1713
p9237	t426
p951	t2795
p5188	a11416
p7269	c10
p12634	a6767
p2581	t33
p4791	a5649
p3120	t4
p1697	t87
p4685	t220
p7525	t1117
p12311	t460
p13297	t4
p11933	t19
p8814	t219
p10817	t3300
p3697	t426
p2855	a10014
p12462	t8140
p10963	t626
p3032	t115
p4968	t33
p7855	t12
p6502	t1867
p11208	t984
p4042	t471
p240	a1601
p7326	t79
p13811	t396
p6473	c10
p11045	t4
p11831	t115
p9216	a6613
p11975	t43
p197	c1
p5726	a2895
p3602	t33
p13486	t1070
p5973	t182
p6361	t227
p881	t238
p10809	t7542
p785	t1835
p1007	t2074
p8374	t144
p3536	a9574
p5220	t115
p1486	t51
p14324	t1930
p4310	t3292
p5517	a2287
p8973	t24
p1974	a6666
p8278	a8225
p12275	t802
p11225	a379
p3776	c7
p2618	t1464
p8179	t1015
p11901	a11198
p3317	t52
p6088	t1186
p2034	t426
p2520	t395
p9937	t158
p10218	t19
p11276	c17
p13363	a9173
p4887	a2403
p9485	t1026
p10512	a9406
p14190	t115
p8007	a9178
p5731	t9
p5728	t426
p10224	t1
p12921	t19
p14112	t81
p10709	t19
p56	t166
p5286	t36
p10743	t490
p3200	a6910
p13217	a9418
p8119	t4
p8067	t2252
p13484	c18
p3659	a9640
p10869	t4
p1895	t425
p11484	t431
p366	t13
p13719	t8486
p5176	t43
p14033	t19
p3905	t1825
p6252	c10
p2926	t601
p14157	t7879
p4138	t33
p10800	a5098
p14036	c19
p8809	t459
p4500	a10251
p11783	t619
p2249	a8257
p2733	t87
p4660	a4834
p8132	t6683
p8796	t78
p6190	t214
p343	t12
p2881	t37
p11262	a6605
p2466	t1293
p8125	c11
p3926	a10164
p4437	a8445
p9831	a8568
p2426	t87
p824	a1111
p7173	c10
p1035	t3541
p4951	t60
p11266	t4
p1806	t58
p1020	t513
p2837	t1222
p11088	a4711
p6026	t4
p26	a999
p11330	t1909
p12406	a2231
p11573	t285
p12743	t831
p14116	a12071
p14221	t6090
p761	t60
p1137	a3141
p4484	a4677
p1471	t1075
p7819	t2465
p5143	t163
p2329	t702
p6459	a12107
p875	c1
p13290	a4704
p12846	a9479
p3720	t573
p9649	t113
p11329	a6762
p2348	a626
p13603	a4549
p7803	t88
p2211	t462
p14287	t819
p9317	a6358
p3767	a6819
p13390	a7099
p3240	t474
p3319	a10936
p9358	t1
p9275	t1
p6525	t51
p8717	t4
p10993	t36
p11513	c17
p5859	t5600
p11842	t43
p4658	t491
p4149	c7
p13382	t79
p10914	t1
p2096	t128
p3672	a11112
p1109	t19
p8217	a4410
p1136	t19
p1703	t930
p11213	c17
p3971	t476
p9757	t1508
p13612	t3474
p8910	a13084
p7043	a1638
p344	t329
p13571	a9416
p11789	t60
p11447	t190
p11703	t1
p12771	t474
p3270	t508
p5126	a6573
p898	c1
p7679	a12601
p7660	a11828
p11776	a4434
p6679	t1252
p4072	a6517
p2334	t692
p5932	t43
p5558	t84
p8876	t33
p5594	t43
p164	t263
p13044	t33
p8639	t4
p8444	t519
p10738	t233
p11347	t293
p13163	t119
p10231	t4542
p8915	t33
p4819	a8829
p1691	c2
p3675	t60
p9987	t24
p13198	t5145
p497	t2824
p4745	t818
p12070	t535
p13468	t128
p8374	a4626
p577	t9
p9901	a7097
p8467	t426
p6945	t60
p14010	t776
p10810	t5399
p7561	a12434
p13043	t607
p3167	t19
p704	a2196
p12273	t221
p2421	a52
p13405	a8697
p1675	a7704
p10885	t573
p5956	c10
p2414	c3
p10933	c16
p5420	c9
p2101	t180
p6958	t680
p12346	a3079
p2426	t113
p12665	t1213
p12717	t5973
p11254	t19
p11763	t573
p9972	a1325
p2756	t680
p10485	a5418
p3247	t425
p1488	a1665
p14194	t33
p9792	a3413
p2908	t1032
p8107	a6118
p5732	t2269
p813	t3281
p13458	t482
p10117	t446
p8348	t321
p13855	a13833
p2157	a5985
p1060	t537
p11486	t112
p10282	c16
p12630	t425
p4037	t1094
p11290	t285
p13156	t79
p14176	a14431
p11533	t79
p5211	t345
p9341	t221
p14060	a2806
p12357	t426
p12947	t1195
p11316	a9154
p4614	t426
p11401	c17
p14056	a4941
p13886	t311
p4902	t4227
p43	a1083
p11998	t667
p27	t142
p11089	a3694
p539	t36
p6213	t43
p11521	a4799
p4773	a5092
p14025	t423
p12273	c17
p1167	t319
p10392	t573
p11914	t425
p9458	t7101
p11603	a4475
p8909	t2167
p6216	a1344
p6341	t43
p6676	t1686
p10253	t19
p1098	t12
p12001	t433
p5973	t142
p8564	t2183
p9683	c15
p3549	t10
p1760	t221
p9239	t4
p8879	t914
p7534	c10
p897	t19
p13070	t33
p4043	t637
p8891	t579
p3806	t103
p13456	t1
p6356	t327
p12377	t838
p943	a2126
p7654	t1218
p4991	a8701
p3280	t274
p9872	t6123
p13674	t612
p3354	a9120
p4479	c7
p692	t323
p1894	c2
p6193	t714
p6401	t263
p9425	t345
p13256	a14233
p13147	t1
p10091	c16
p12075	t425
p9270	t225
p12386	t425
p8148	c11
p3156	t33
p175	t1097
p10661	c16
p8107	t285
p14	t12
p14359	c19
p12470	a14029
p4613	a11490
p11342	a4955
p2654	t461
p13483	t873
p11362	t103
p10578	t118
p10795	t60
p3666	t417
p12616	t262
p1302	t282
p6342	t33
p10314	t1510
p4219	c7
p576	a2332
p14001	c18
p2743	t136
p4637	t345
p1284	t3787
p839	t191
p5383	t286
p10299	t103
p12804	a675
p13571	t330
p10032	c16
p3667	t128
p13167	t106
p7943	a12707
p1567	a3287
p4077	a6018
p10117	t36
p3995	a5844
p2660	t194
p5954	t333
p10347	t2690
p2995	c6
p11227	a7227
p9834	a13233
p9925	t308
p3433	a848
p2838	t2853
p10379	t79
p5141	t3360
p2266	c2
p7880	t345
p10333	t221
p1965	t2266
p1391	t1776
p12224	t1296
p7201	t1688
p4306	t537
p8604	t1498
p8456	t206
p8081	t1393
p1378	t1010
p4013	t7675
p4447	a6020
p6406	t19
p4498	t285
p7153	t79
p3492	t441
p2387	t108
p12187	t952
p7782	a1649
p2715	t345
p5993	t42
p4213	a8764
p13856	a13123
p14133	a477
p224	t1550
p10138	c16
p8887	t6976
p8790	t2919
p9206	t2284
p10597	a10721
p3655	c7
p10920	t4
p3871	a5969
p10341	t411
p3439	a6507
p1574	t202
p6388	a3819
p13098	c18
p6540	t33
p7597	a2119
p2515	t270
p5665	t19
p3687	t2860
p12342	t489
p4458	c7
p10793	t827
p9636	t629
p10791	c16
p4901	t10
p3291	t474
p10912	t1814
p5383	t735
p9487	t261
p6017	a8274
p4596	c7
p7104	t79
p3833	t52
p4375	t33
p8006	t24
p4050	a6800
p12699	t18
p6117	t43
p4658	t2382
p4013	t714
p1658	t354
p14162	a5959
p1701	t33
p2917	a3956
p7654	c10
p3541	a4302
p5827	a1163
p12410	t5048
p9195	a1751
p12061	a4435
p9552	t5105
p7092	t4
p3169	t426
p11696	t7898
p1994	a5461
p9177	t524
p12638	a842
p1864	t1904
p7855	c11
p7873	t1267
p10340	t7419
p13255	t667
p2466	t715
p13637	t486
p7552	t53
p11609	a4641
p6384	a3609
p2760	t1400
p11916	a796
p13156	t3747
p11305	t87
p7064	t60
p9051	t1349
p324	c1
p4010	a9680
p9139	t7041
p2629	t18
p2384	t3214
p14296	t513
p2104	t106
p488	t1680
p481	t300
p4295	t36
p7909	t536
p396	a1916
p6581	a2074
p5279	t53
p347	a1827
p3118	t538
p6994	c10
p1202	t3693
p10640	a8071
p3550	t426
p6896	t2624
p2635	a4144
p14267	t2215
p4348	t4
p1130	t166
p326	t1558
p6218	t330
p3136	c6
p2995	a6806
p5508	t423
p8621	t10
p2541	a9057
p2282	a8289
p234	a1587
p13583	a11119
p7466	t1204
p10980	a4056
p4644	t2971
p10465	t164
p6261	a567
p110	t78
p13958	t106
p266	t60
p7218	t48
p11899	t6608
p13736	t304
p6752	c10
p2230	t2854
p2929	t1811
p6029	t4948
p11196	c17
p5660	t211
p12699	t19
p2512	a492
p6595	a1147
p1987	t2779
p158	t1267
p324	a1788
p4010	a11246
p9569	c14
p181	t1563
p10023	t49
p3222	t795
p211	t1485
p6488	a960
p13604	t2439
p12482	t1063
p3501	t5015
p10397	a7860
p768	t759
p4311	t595
p11387	t2201
p998	t868
p1829	a7051
p4243	t3211
p5082	t565
p6669	t4
p5408	a2398
p2978	t142
p10962	t291
p3217	a1760
p8060	t6651
p12929	t4
p14082	c19
p7870	a9863
p3965	t447
p5620	t357
p7605	t143
p1536	a2964
p2251	t33
p6145	t878
p2315	t686
p11892	t715
p13596	a6973
p13141	t79
p13603	t8456
p9326	t19
p1026	t878
p9380	t60
p11810	a13865
p14299	a494
p13594	t238
p9030	t842
p14016	t149
p13672	t8341
p10968	t820
p10129	a4010
p7921	t144
p843	c1
p3200	t489
p12079	a331
p10332	t60
p8713	t263
p13414	t1160
p12343	t1273
p8813	t60
p9285	t1
p4849	t495
p4146	t3555
p9537	a9328
p6945	c10
p4885	a11606
p9799	a8754
p6570	t112
p10127	t127
p13125	a8751
p12197	t2747
p9205	t2284
p13081	t474
p12816	a6121
p8602	a2448
p4628	t485
p4408	t53
p3486	t517
p9005	t1485
p13759	t52
p12574	t537
p7386	c10
p427	a1998
p8883	t1094
p10145	t1839
p9987	t573
p13404	t19
p4177	t149
p5802	t74
p3813	t322
p1969	a3887
p2776	t122
p1515	a964
p8204	c11
p405	c1
p12742	c18
p13853	t330
p1941	t79
p2206	t282
p4765	t24
p9864	t454
p13479	t10
p9094	t1333
p6785	t2435
p4115	a6386
p614	t3019
p1879	t432
p8173	t1039
p1011	a2984
p10919	t1616
p4539	a7479
p5346	t769
p11823	t4655
p8754	a135
p5077	a3352
p12299	c17
p10895	a3993
p9767	t78
p2675	t4639
p7936	t1096
p12852	t3209
p826	t188
p12439	t19
p905	t1681
p5004	a5790
p10754	t221
p2128	t19
p6440	a1991
p7813	a12662
p8040	c11
p3689	t3338
p5198	c8
p3523	a7239
p10061	c16
p10044	t4
p13554	t786
p3580	c7
p1087	a2100
p11026	t222
p1289	a3191
p5661	t1251
p4902	t4
p3460	t549
p9301	t504
p8219	t2227
p4845	a10756
p12921	t4417
p3021	a694
p13314	a8669
p14343	c19
p1787	t202
p10725	t1072
p7839	t53
p12893	t8262
p3133	c6
p9781	a12874
p2723	a9900
p5821	t43
p12395	t462
p5922	t979
p12714	a10943
p3778	a652
p14105	t1409
p5923	t3435
p777	t10
p6609	t444
p10419	t1026
p12842	t8018
p9826	t221
p4078	t674
p1408	c1
p6246	c10
p14100	a5948
p11101	a5476
p3134	t60
p982	t10
p12533	t483
p7156	a8274
p636	t2245
p3101	a7223
p4670	t1224
p3374	t680
p7816	t748
p4631	t1691
p13339	t52
p3092	a6630
p818	t78
p1322	t1671
p10617	t678
p5529	t481
p313	t166
p13834	t617
p11120	t1975
p8191	t571
p1679	t60
p10277	t103
p160	t104
p12805	t1576
p8903	t36
p5653	c9
p8412	t1969
p13963	t327
p6304	t2729
p192	t751
p8349	a3474
p5589	a6217
p10392	t1975
p6403	c10
p6691	t1244
p11497	t132
p12993	t53
p7485	t12
p12757	a6378
p14219	t4203
p3586	c7
p2535	c3
p1874	c2
p10422	t4
p10155	t7361
p2925	t2017
p140	t403
p4984	t1998
p13364	t513
p12240	t474
p9435	t7159
p12984	t690
p9113	a6410
p12780	t562
p6036	t1581
p10923	t432
p6657	t1689
p1383	a240
p10238	t5297
p8292	a336
p13410	t128
p963	t3449
p6880	t483
p13220	t522
p103	t46
p3848	t1846
p9293	t2971
p8780	t6925
p8772	c12
p64	t19
p5300	a8148
p13379	t1599
p1312	t3827
p9817	t1525
p11192	a12963
p12786	a1362
p1121	t591
p7106	t319
p8410	c11
p165	c1
p6606	t128
p12117	t4
p1411	a845
p1936	c2
p9387	t263
p1831	t24
p9911	c16
p3731	t520
p10239	a13380
p3520	t474
p10656	t1838
p13387	t179
p11148	a4053
p9173	c14
p375	t395
p2622	t432
p4277	t8518
p10979	t1
p12529	a3770
p4851	t458
p12851	t503
p8945	t3600
p4815	a4537
p12121	t1811
p4	t66
p7836	t3435
p963	t1547
p11288	a13711
p11942	a12531
p13775	t370
p6064	t60
p6286	t5933
p4161	a3457
p14238	t461
p8392	t417
p6985	t4
p5106	c8
p384	t192
p14297	t60
p3426	t630
p3243	a9287
p10744	t37
p1928	t535
p8265	a5809
p12348	a6998
p8400	a616
p3365	t629
p8583	t442
p9144	c14
p9126	t601
p1645	t688
p12899	a10372
p9010	a8826
p14156	a5340
p3623	t53
p9119	t1
p13077	t2025
p9349	a4703
p14236	t503
p876	t483
p120	t396
p5066	t33
p13657	t1827
p8619	a10666
p6619	t4
p1978	t674
p2454	t1091
p3126	c6
p6408	c10
p14114	t368
p2268	a7589
p5277	t5261
p6105	c10
p8052	t144
p11298	t345
p1705	a7747
p10450	a13455
p5381	a5624
p3320	a6460
p1538	t58
p4796	t97
p11771	t90
p12783	a4780
p7899	t4020
p13286	t462
p10930	t10
p13508	a6702
p7262	t208
p13148	a7496
p5798	t1047
p8873	t87
p1299	t710
p388	t42
p4488	a6134
p9140	t2433
p12690	a5266
p2907	a10041
p10547	a755
p5006	t485
p5155	t1190
p9935	t2110
p2368	t579
p13139	t392
p9311	t6510
p12914	t8273
p2615	a4094
p3461	t52
p2453	t1192
p1418	a1893
p6961	t43
p12173	t474
p9088	a5675
p788	t815
p8563	t79
p6549	c10
p2404	a5650
p1587	a294
p11070	t7597
p1131	t1569
p9230	c14
p10539	t520
p103	a1280
p3438	a6687
p12651	c18
p2207	t4146
p2303	t2
p769	t1113
p7118	t5120
p1604	t43
p7254	t4
p3005	t113
p7482	a1118
p11499	t641
p3823	t2626
p11940	a6541
p1901	t106
p4388	t60
p13986	t1846
p7300	a809
p11173	a8287
p13661	a6605
p9134	t3949
p237	t4
p4217	a8066
p3405	t33
p931	t155
p3472	a7479
p11548	a4933
p9957	t922
p12031	t635
p13453	t60
p11673	t613
p4920	a11617
p2070	t43
p6306	t3
p8635	t78
p9958	t79
p11940	t333
p11044	a7780
p9646	t973
p3689	t5818
p11808	t367
p5649	a13
p10170	a12579
p10240	c16
p7825	t58
p1675	t426
p7032	a12336
p11726	t1925
p11972	t19
p8917	t2074
p3100	t458
p13505	a7479
p8187	t206
p3630	t889
p10567	a13499
p2496	t108
p9943	t62
p8043	t2425
p14132	t6220
p11294	a9569
p6373	t261
p7498	a5070
p2440	t53
p2721	t1
p4792	t1573
p5185	t476
p9778	t914
p9162	t4171
p6811	t222
p8296	t426
p13372	t4240
p12528	a14050
p11137	t2424
p3506	a10494
p2786	t4
p9197	t618
p6364	t2832
p7361	t1625
p13062	t739
p9772	t573
p683	t1819
p1441	t3280
p2584	t103
p10710	a13533
p4832	t1363
p5734	t1284
p11115	t466
p9609	a11575
p641	t172
p2157	t520
p7146	t6279
p7280	t2749
p7279	t2897
p4539	a7545
p6732	t37
p5395	t1702
p2223	a6730
p6623	t4
p10639	t221
p13197	t601
p2373	t43
p6094	c10
p5896	t1113
p3700	a11125
p8453	t1839
p6496	a919
p12958	t4
p6814	c10
p8655	t1032
p12601	t36
p6620	t36
p4616	t60
p9858	t657
p7231	a2699
p3076	t3817
p3164	t885
p9149	a5007
p10145	t2797
p10563	a4139
p4387	t2240
p4631	t43
p10868	t4149
p4661	t4
p806	c1
p11867	t2161
p3983	t457
p8160	t144
p3118	t106
p5527	a1789
p2217	t36
p1168	t1469
p483	t81
p9038	t2885
p3370	t2051
p5972	t49
p8035	a10576
p10004	t501
p3785	t655
p794	c1
p5966	t86
p3494	t2475
p3559	t2338
p1186	t442
p12647	t60
p899	a1130
p13700	t19
p13929	t8542
p10468	c16
p5730	t1869
p6804	t392
p1094	t3611
p12560	t2202
p8483	a77
p9814	t2046
p5262	a1422
p9497	t176
p11385	t609
p7460	t2217
p7518	t305
p14367	a12904
p7661	t43
p2491	a3339
p14321	a4042
p50	t1075
p7240	t2
p11838	t835
p4001	a6702
p9522	t60
p1425	t1125
p3977	t673
p1581	t913
p12363	a8418
p12605	t330
p210	a234
p2330	t395
p4503	t426
p533	a1631
p13360	a7937
p7488	t1433
p5828	t4
p3493	t321
p12814	a4740
p6937	t33
p2663	a4748
p13231	a6738
p13778	t2004
p9131	t4
p1391	t261
p7195	t1982
p9777	t612
p12238	t483
p2733	t3391
p10128	c16
p12767	t864
p6073	a2534
p7372	t2711
p9508	t51
p1083	t872
p8298	t102
p1517	t4026
p7860	t102
p8753	t417
p179	a1466
p14351	t127
p7270	a808
p9843	t286
p3385	t345
p8810	a5585
p2389	t60
p13161	t426
p3855	t2061
p2107	t417
p6254	t1
p5045	a3511
p2862	a4926
p12802	a6663
p3578	c7
p13215	a10908
p8097	a11617
p7339	t10
p7703	t327
p8646	a5741
p11674	t338
p11254	t92
p6503	a549
p9216	t1923
p2728	t1844
p4775	t273
p9984	a6480
p7672	t444
p9372	c14
p12060	t315
p13931	c18
p5503	t144
p7502	t19
p11963	t490
p5152	t552
p13113	a8574
p10285	t43
p2223	t460
p5066	t3129
p9341	t1
p1980	t436
p8280	t4236
p1070	a863
p1524	t3280
p13513	t688
p7724	t426
p2497	t878
p1139	t19
p14063	t3056
p12535	a418
p2589	t224
p88	c1
p12290	a10795
p8592	a9253
p6116	t60
p948	t4
p3	t42
p6242	a1480
p4615	t211
p2068	t43
p9824	t1596
p9930	c16
p7578	a12440
p10060	c16
p1397	a1786
p13829	t60
p13862	t224
p272	t682
p7826	t60
p5459	t319
p4772	t4
p213	t60
p9088	t2247
p2875	t321
p6760	a12288
p2540	t267
p8175	t1433
p14332	t43
p7767	t1112
p12880	a4682
p8647	t51
p4865	t120
p268	t1069
p1697	t115
p9160	t4
p10943	t432
p2873	t19
p9119	t1187
p10341	t417
p6744	a173
p2391	t19
p11105	t537
p2191	a3101
p8026	a8880
p10243	a4171
p7270	t1
p12741	t668
p14123	a4791
p5088	a6552
p3128	c6
p9858	t527
p462	t878
p13550	t358
p4141	a4287
p8226	a9826
p11618	t330
p9308	t640
p3161	t346
p1694	t4
p5297	t24
p9668	c15
p9035	t4
p13914	c18
p3824	t4
p13442	t4
p11148	c16
p11677	t580
p1531	a3414
p5813	a10777
p5998	t179
p7813	a7869
p9795	t912
p5924	t5633
p6164	t1149
p6315	a6883
p4747	t288
p13936	t43
p12767	t2193
p1803	t60
p5336	t263
p12695	t423
p10447	t143
p12086	t417
p912	t12
p4970	a9074
p10555	t323
p236	t758
p8051	a1309
p6199	t1
p4391	t4141
p10818	t33
p9811	t19
p7273	t4
p13348	t1
p12030	t49
p1817	t88
p5430	t825
p11987	t60
p11742	t801
p1768	t878
p1038	t2881
p3354	t60
p11776	a3227
p3396	t1691
p4177	c7
p8439	a12010
p4057	t5195
p1640	t194
p8592	t108
p10203	t10
p14068	t2527
p6703	t19
p3896	a7923
p10340	t645
p11515	t285
p8301	t144
p1746	t1980
p13861	t521
p10918	a8163
p3102	a4794
p814	t53
p7020	c10
p7417	a3240
p14044	t4
p11206	t861
p14231	t423
p10897	a12911
p8486	a5964
p11566	t462
p8427	t1306
p8397	t6783
p6407	t1180
p11805	t36
p12629	t43
p3199	a633
p11557	t538
p6403	a1071
p6835	t53
p3188	t78
p9870	a12082
p701	a2539
p2918	t4897
p12101	a9076
p12258	t522
p5476	c9
p4032	a2403
p13028	t436
p3814	c7
p2190	t79
p12621	c18
p13964	t43
p12101	t720
p9234	c14
p14258	a250
p12004	t43
p9038	c13
p13912	t2911
p8565	t78
p13795	t60
p11082	t2533
p10154	a3949
p11035	t685
p10836	t103
p4482	t2004
p4518	a10947
p11339	t5048
p5053	t1297
p10518	a4821
p11708	a3093
p5502	a1309
p4879	t142
p6745	t128
p6385	t60
p1830	a2229
p8476	t19
p3282	t520
p12787	c18
p3393	t827
p10138	t446
p4190	c7
p7818	t6540
p11851	a10298
p3281	a10915
p2515	t780
p5390	c9
p13679	t484
p12921	t1982
p3937	t4
p18	a243
p3246	t4990
p3460	a10919
p1963	t537
p11357	t7780
p10609	t235
p3686	t425
p2327	t4193
p8001	a2414
p7826	a4780
p13118	t635
p7909	t1317
p11735	t5059
p8639	t51
p464	t423
p4916	t2391
p7793	t6523
p12803	t617
p10370	t219
p10779	t19
p12832	t4921
p11698	a143
p13723	t214
p3588	t148
p1883	t87
p13327	t889
p9133	c14
p5044	t1251
p14376	t197
p11555	c17
p4445	t2337
p2597	c4
p9326	c14
p6432	t1164
p6956	a1111
p6387	t430
p8613	t51
p8853	a13053
p11745	t4985
p6532	a1739
p10786	t4
p9503	t4813
p1857	t81
p12452	t1752
p4638	t1591
p1420	a2398
p5573	t78
p9100	t24
p3327	t19
p8280	t1180
p5717	t127
p1713	t33
p6976	t1541
p11811	c17
p10349	t36
p6094	t1971
p7679	a1106
p3951	t425
p10842	t825
p6324	t4
p9802	t7253
p2591	t345
p24	t241
p4082	t639
p9735	t836
p6326	t1680
p13063	a4431
p6611	t19
p2198	a8203
p7255	t1286
p11283	t43
p14203	a5065
p1562	t55
p4425	t101
p1630	t623
p10052	t700
p1596	t597
p10264	t79
p14079	a1747
p6168	t1
p13884	a392
p9804	t643
p7247	a2098
p8817	t835
p9808	t741
p1597	t115
p7467	t5396
p8428	t388
p9251	t53
p6545	t1040
p12621	t426
p12165	t601
p607	t1387
p2898	t33
p600	t79
p7358	a162
p8285	t6741
p9319	a5634
p2976	t4
p5330	t53
p14250	t36
p2239	t346
p4787	t579
p9938	t4903
p5417	t5324
p8072	a127
p4093	t60
p6603	t88
p4986	t33
p3163	t88
p10999	t1118
p9567	t7183
p6910	t983
p4560	a8113
p4512	t206
p12570	t291
p12691	a14108
p11782	a4435
p8754	a3896
p12182	t19
p14200	a5065
p2453	c3
p11138	t4166
p12955	t43
p14298	t974
p10824	t7545
p9613	t417
p9558	t7185
p7062	t6242
p8678	t371
p7028	t19
p5164	t1781
p13006	t212
p3948	t1
p11180	t2219
p14009	a14387
p852	t887
p10765	t529
p13	t151
p2552	t395
p12063	a13929
p8246	t828
p3123	a6813
p12238	t154
p918	t1689
p11878	t3573
p1623	t589
p5987	t1118
p1360	t426
p4245	a2414
p7982	a4394
p5866	t3919
p7837	t1338
p7232	c10
p4147	t263
p11838	t2240
p10997	t118
p1025	t37
p5996	t5678
p9729	a10603
p13259	t212
p2555	t53
p13517	t5211
p9836	t841
p12003	t2266
p5772	t109
p12656	t60
p10818	t330
p4859	t179
p5706	t273
p12013	t33
p10392	t128
p9029	t390
p13009	t116
p10785	t127
p11028	t189
p6882	a1677
p12137	a10760
p12461	t317
p2117	a3196
p7121	t675
p13668	t682
p14053	t103
p8793	t502
p10102	t649
p9483	t392
p5023	t4602
p2096	c2
p12585	t8185
p13925	t423
p9290	t136
p13473	a7335
p12199	t817
p9717	t222
p6240	c10
p6955	t714
p2061	t103
p13526	t1
p11558	t802
p3261	t503
p9502	t592
p2246	t74
p8679	t1728
p2801	t60
p3099	t286
p11010	a9518
p10629	a10186
p6412	a1979
p4193	t132
p1857	a259
p5847	t88
p10919	t410
p13526	t345
p10286	c16
p4072	t861
p5624	c9
p4951	a10397
p7364	a4305
p6747	t830
p9662	t19
p2906	t2971
p2882	t573
p8374	t552
p6588	t33
p6233	a4953
p13564	t2133
p729	c1
p9012	t1349
p10449	t1242
p11399	c17
p13881	a5895
p2800	t827
p11472	c17
p6021	t4
p13194	c18
p5040	t1832
p1771	a7830
p10408	t819
p12958	t278
p13495	t2393
p6655	t244
p7032	t483
p12105	t118
p1810	a2158
p11696	t491
p815	t19
p4537	a8131
p2988	t4941
p7892	a10586
p2284	t350
p10278	a5089
p3080	t115
p1853	a167
p4615	t820
p3683	t626
p2003	a687
p9243	t349
p2888	a4275
p1550	t3169
p8213	t144
p7221	t2006
p7037	a2870
p6471	t3008
p12388	t33
p13916	a14367
p1821	t19
p14197	c19
p8663	t121
p5372	a4967
p3700	a5521
p3742	a4434
p12986	a4781
p13620	t19
p8010	a4322
p7721	a3986
p11966	t36
p2566	t115
p11038	t233
p12148	t3973
p2445	a15
p5671	a1980
p13378	t854
p5678	a11935
p11383	c17
p9940	t828
p12555	a3227
p12599	t483
p7898	c11
